Latitude,Longitude,ВСЬОГО,ТЯЖКІ ТА О.ТЯЖКІ,ВБИВСТВО,УМИСНЕ ТЯЖ ТІЛ УШКОДЖЕННЯ,ТЯЖ ТІЛ УШКОДЖ ЗІ СМЕРТ. НАСЛ.,ЗГВАЛТУВАННЯ,КРАДІЖКА,ГРАБІЖ,РОЗБІЙ,ВИМАГАННЯ,ШАХРАЙСТВО,ЗАВОЛОД Т/З,ХУЛІГАНСТВО
50.381676,30.697009,1,0,0,0,0,0,0,0,0,0,1,0,0
50.383287,30.699046,1,1,0,0,0,0,0,1,0,0,0,0,0
50.381041,30.701051,1,0,0,0,0,0,1,0,0,0,0,0,0
50.392601,30.445802,1,1,0,0,0,0,0,0,0,0,0,0,0
50.392082,30.450069,1,0,0,0,0,0,1,0,0,0,0,0,0
50.378098,30.706438,3,0,0,0,0,0,2,0,0,0,0,0,0
50.391481,30.443232,1,0,0,0,0,0,0,0,0,0,0,0,0
50.389282,30.441079,1,1,0,0,0,0,0,0,0,0,0,0,0
50.43146,30.541085,1,1,0,0,0,0,0,0,0,0,1,0,0
50.431528,30.540133,19,5,0,0,0,0,0,0,0,0,7,0,0
50.430729,30.539995,10,1,0,0,0,0,0,0,0,0,1,0,0
50.430568,30.53979,4,1,0,0,0,0,1,0,0,0,1,0,0
50.430906,30.539489,4,3,0,0,0,0,1,1,0,0,0,0,0
50.430273,30.539474,14,6,0,0,0,0,0,0,0,0,8,0,0
50.5407417,30.3571056,1,0,0,0,0,0,1,0,0,0,0,0,0
50.5409402,30.3579926,1,0,0,0,0,0,1,0,0,0,0,0,0
50.543248,30.355288,1,1,0,0,0,0,0,0,0,0,0,0,0
50.5501634,30.3259218,1,0,0,0,0,0,0,0,0,0,0,0,0
50.426388,30.525377,1,0,0,0,0,0,1,0,0,0,0,0,0
50.4444767,30.5357055,1,0,0,0,0,0,0,0,0,0,0,0,0
50.5066038,30.4748457,1,0,0,0,0,0,1,0,0,0,0,0,0
50.379185,30.681293,1,1,0,0,0,0,0,0,0,0,1,0,0
50.379624,30.681088,1,0,0,0,0,0,0,0,0,0,0,0,0
50.50619,30.474981,7,1,0,0,0,0,4,0,0,0,2,0,0
50.5072723,30.4768252,1,1,0,0,0,0,1,0,0,0,0,0,0
50.501276,30.772517,1,0,0,0,0,0,0,0,0,0,0,0,0
50.501415,30.772737,2,1,0,0,0,0,2,0,0,0,0,0,0
