Connect;ВСЬОГО;ТЯЖКІ ТА О.ТЯЖКІ;ВБИВСТВО;УМИСНЕ ТЯЖ ТІЛ УШКОДЖЕННЯ;ТЯЖ ТІЛ УШКОДЖ ЗІ СМЕРТ. НАСЛ.;ЗГВАЛТУВАННЯ;КРАДІЖКА;ГРАБІЖ;РОЗБІЙ;ВИМАГАННЯ;ШАХРАЙСТВО;ЗАВОЛОД Т/З;ХУЛІГАНСТВО
Киев УЛ. АРТЕМА 60;1;0;0;0;0;0;0;0;0;0;1;0;0
Киев УЛ. АРТЕМА 73;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. АРТЕМА 74;1;1;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. АРТЕМА 75;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. АРТЕМА 76;2;1;0;0;0;0;0;1;0;0;1;0;0
Киев УЛ. АРТЕМА 77;4;0;0;0;0;0;0;0;0;0;0;0;0
Киев УЛ. АРТЕМА 79;2;1;0;0;0;0;1;0;0;0;1;0;0
Киев УЛ. АРТЕМА 81;2;0;0;0;0;0;2;0;0;0;0;0;0
Киев УЛ. АРТЕМА 83;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. АРТЕМА 84;1;0;0;0;0;0;0;0;0;0;0;0;0
Киев УЛ. АРТЕМА 86;1;0;0;0;0;0;0;1;0;0;0;0;0
Киев УЛ. АРТЕМА 91;3;0;0;0;0;0;2;1;0;0;0;0;0
Киев УЛ. АРТЕМА 93;15;5;0;0;0;0;4;1;0;0;4;0;0
Киев УЛ. БАЖОВА 10;3;0;0;0;0;0;2;1;0;0;0;0;0
Киев УЛ. БАЖОВА 12;4;0;0;0;0;0;3;0;0;0;0;0;1
Киев УЛ. БАУМАНА 3;1;1;0;0;0;0;0;0;0;0;0;0;0
Киев УЛ. БАУМАНА 4;75;6;0;0;0;0;23;2;0;0;25;0;0
Киев УЛ. БАУМАНА 8;1;0;0;0;0;0;1;0;0;0;0;0;0
